"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"19982","MEF2D",2,1246,31,0,12,40
"19983","MEGF10",0,0,0,0,0,0
"19984","MEGF11",0,0,0,0,0,0
"19985","MEGF6",0,1,0,0,0,0
"19986","MEGF8",0,95,0,0,0,0
"19987","MEGF9",1,541,5,11,11,33
"19988","MEI1",0,39,0,0,0,0
"19989","MEI4",0,0,0,0,0,0
"19990","MEIG1",0,200,0,0,0,5
"19991","MEIKIN",0,0,0,0,0,0
"19992","MEIOB",0,0,0,0,0,0
"19993","MEIOC",0,0,0,0,0,0
"19994","MEIOSIN",1,606,23,0,0,2
"19995","MEIS1",8,2134,0,48,14,59
"19996","MEIS2",9,809,1,3,9,18
"19997","MEIS3",4,151,8,0,2,0
"19998","MELK",0,36,0,0,0,0
"19999","MELTF",0,175,14,0,1,0
"20000","MEMO1",9,452,1,0,1,19
"20001","MEN1",3,1033,0,14,4,38
"20002","MEOX1",0,0,0,0,0,0
"20003","MEOX2",0,36,6,17,0,5
"20004","MEP1A",0,0,0,0,0,0
"20005","MEPCE",1,250,0,0,0,9
"20006","MERTK",2,178,0,0,3,26
"20007","MESD",0,0,0,19,0,1
"20008","MEST",0,107,0,17,0,11
"20009","MET",0,289,0,46,6,7
"20010","METAP1",2,485,7,0,7,25
"20011","METAP1D",0,0,0,0,0,0
"20012","METAP2",69,2888,70,84,67,223
"20013","METRN",2,399,4,0,3,8
"20014","METRNL",4,254,0,21,4,1
"20015","METTL1",0,0,0,0,0,0
"20016","METTL13",1,444,7,30,2,26
"20017","METTL14",0,258,0,0,0,9
"20018","METTL15",7,224,0,0,4,10
"20019","METTL16",8,152,0,0,7,15
"20020","METTL17",0,0,0,0,0,0
"20021","METTL18",0,38,0,8,2,3
"20022","METTL21A",0,0,0,0,0,0
"20023","METTL21C",0,0,6,0,0,0
"20024","METTL22",0,0,0,0,0,0
"20025","METTL23",0,2,0,0,0,5
"20026","METTL24",0,30,0,0,0,0
"20027","METTL25",0,151,10,0,0,1
"20028","METTL25B",5,259,12,0,7,4
"20029","METTL26",0,0,0,0,0,0
"20030","METTL2A",0,275,0,37,6,17
"20031","METTL3",0,0,0,0,0,0
"20032","METTL4",1,44,0,0,1,13
"20033","METTL5",0,0,0,0,0,0
"20034","METTL6",0,60,0,0,0,0
"20035","METTL8",0,0,0,0,0,0
"20036","METTL9",0,0,0,0,0,0
"20037","MEX3A",5,312,8,27,1,49
"20038","MEX3B",0,0,0,0,0,0
"20039","MEX3C",7,432,4,0,6,2
"20040","MEX3D",2,297,0,0,2,6
"20041","MFAP1",0,0,0,0,0,0
"20042","MFAP2",0,0,0,0,0,0
"20043","MFAP3",4,817,18,0,10,25
"20044","MFAP3L",0,66,10,0,2,7
"20045","MFAP4",0,1,13,4,0,0
"20046","MFAP5",0,333,0,125,4,14
"20047","MFF",3,215,4,0,6,13
"20048","MFGE8",0,0,0,0,0,0
"20049","MFHAS1",0,198,0,35,7,10
"20050","MFN2",0,0,0,0,0,0
"20051","MFNG",0,2,0,0,0,0
"20052","MFSD1",0,327,0,0,13,3
"20053","MFSD10",2,182,0,0,0,15
"20054","MFSD11",3,473,0,0,4,3
"20055","MFSD12",4,267,0,0,0,14
"20056","MFSD13A",1,179,0,28,1,0
"20057","MFSD14A",0,571,7,0,7,8
"20058","MFSD14B",3,290,0,0,2,11
"20059","MFSD2A",0,0,0,0,0,0
"20060","MFSD2B",2,4,0,0,5,0
"20061","MFSD3",0,0,0,0,0,0
"20062","MFSD4A",0,0,0,0,0,0
"20063","MFSD4B",4,368,18,22,3,6
"20064","MFSD5",0,0,0,0,0,0
"20065","MFSD6",0,0,0,0,0,0
"20066","MFSD6L",0,0,0,0,0,0
"20067","MFSD8",0,213,0,0,0,0
"20068","MFSD9",1,185,1,0,1,3
"20069","MGA",4,640,0,17,6,17
"20070","MGAT1",0,509,0,5,2,46
"20071","MGAT2",2,347,0,0,2,9
"20072","MGAT3",6,553,7,0,0,9
"20073","MGAT4A",0,199,2,0,6,12
"20074","MGAT4B",17,3252,17,76,43,76
"20075","MGAT4C",0,0,0,0,0,0
"20076","MGAT4D",0,0,0,0,0,0
"20077","MGAT5",0,0,0,0,0,0
"20078","MGAT5B",0,0,0,0,0,0
"20079","MGLL",29,5319,106,19,72,168
"20080","MGME1",3,353,1,0,2,32
"20081","MGMT",0,346,16,6,23,3
"20082","MGRN1",0,57,0,0,3,0
"20083","MGST1",10,415,1,1,0,16
"20084","MGST2",0,35,0,0,1,3
"20085","MGST3",3,515,9,14,3,48
"20086","MIA",0,0,0,0,0,0
"20087","MIA2",11,967,0,9,10,31
"20088","MIA3",31,3612,34,88,34,145
"20089","MIB1",2,1521,10,27,15,59
"20090","MIB2",13,1305,33,55,14,55
"20091","MICAL1",0,0,0,0,0,0
"20092","MICAL2",14,3577,27,39,25,58
"20093","MICAL3",9,3070,32,18,55,76
"20094","MICALL1",12,1831,27,9,3,47
"20095","MICALL2",0,0,0,0,0,0
"20096","MICOS10",0,0,0,0,0,0
"20097","MICOS13",9,274,0,20,3,12
"20098","MICU1",11,2128,19,80,15,88
"20099","MICU2",1,183,0,2,6,0
"20100","MICU3",0,408,4,0,6,3
"20101","MID1",0,141,9,0,0,0
"20102","MID1IP1",0,130,0,0,1,12
"20103","MID2",3,772,0,6,5,20
"20104","MIDEAS",6,672,4,0,0,20
"20105","MIDN",0,274,0,6,0,18
"20106","MIEF2",0,0,0,0,0,0
"20107","MIEN1",11,944,7,23,10,36
"20108","MIER1",0,352,3,0,3,10
"20109","MIER2",2,100,0,18,0,9
"20110","MIER3",0,252,0,18,0,11
"20111","MIF",19,999,14,32,20,76
"20112","MIF4GD",3,534,0,0,2,11
"20113","MIGA1",7,959,4,0,5,27
"20114","MIGA2",1,1297,18,10,27,40
"20115","MILR1",0,0,0,0,0,0
"20116","MINAR1",0,0,0,0,0,0
"20117","MINAR2",0,0,0,0,0,0
"20118","MINDY1",4,442,18,0,5,8
"20119","MINDY2",0,0,0,0,0,0
"20120","MINDY3",1,293,0,0,1,5
"20121","MINDY4",0,8,0,0,0,0
"20122","MINDY4B",0,0,0,0,0,0
"20123","MINK1",0,0,0,0,0,0
"20124","MINPP1",0,113,9,0,0,2
"20125","MIOS",1,173,0,0,0,24
"20126","MIOX",0,0,0,0,0,0
"20127","MIPOL1",0,64,4,0,0,0
"20128","MIS12",0,0,0,0,0,0
"20129","MIS18A",0,80,0,0,3,0
"20130","MIS18BP1",14,504,0,35,3,24
"20131","MISP3",0,0,0,0,0,0
"20132","MITD1",0,29,0,0,0,0
"20133","MITF",3,959,0,1,15,18
"20134","MIX23",3,179,1,26,4,3
"20135","MIXL1",0,0,0,0,0,0
"20136","MKI67",26,2234,98,75,34,171
"20137","MKKS",1,29,0,0,3,5
"20138","MKLN1",11,1955,47,24,6,87
"20139","MKNK1",0,308,0,0,0,0
"20140","MKNK2",37,3634,34,78,64,184
"20141","MKRN1",14,677,23,90,15,24
"20142","MKRN2",13,242,0,19,1,4
"20143","MKRN2OS",0,69,0,0,4,1
"20144","MKS1",0,0,0,0,0,0
"20145","MKX",0,133,0,0,0,0
"20146","MLANA",0,0,0,0,0,1
"20147","MLC1",0,0,0,0,0,0
"20148","MLF1",45,6722,75,99,101,167
"20149","MLF2",19,1505,62,2,31,84
"20150","MLH1",2,882,0,0,11,63
"20151","MLH3",2,186,0,0,3,6
"20152","MLKL",0,1,0,0,4,0
"20153","MLLT1",0,209,0,26,3,18
"20154","MLLT10",8,263,0,7,16,32
"20155","MLLT11",0,12,0,0,0,0
"20156","MLLT3",0,150,0,0,0,0
"20157","MLLT6",4,688,10,20,11,19
"20158","MLN",0,0,0,0,0,0
"20159","MLNR",0,0,0,0,0,0
"20160","MLPH",0,0,0,0,0,0
"20161","MLST8",0,0,0,0,0,0
"20162","MLX",4,651,33,27,19,37
"20163","MLXIPL",46,2627,60,0,80,194
"20164","MLYCD",0,479,4,0,9,12
"20165","MMAA",2,113,0,0,2,11
"20166","MMAB",1,865,18,0,14,59
"20167","MMACHC",0,35,14,0,0,0
"20168","MMADHC",0,0,0,0,0,0
"20169","MMD",2,186,0,4,3,4
"20170","MMD2",0,0,0,0,0,0
"20171","MME",0,297,2,0,1,2
"20172","MMEL1",0,0,0,0,0,0
"20173","MMGT1",8,573,0,32,10,39
"20174","MMP11",0,3,0,0,0,0
"20175","MMP14",3,341,0,0,0,10
"20176","MMP15",10,3050,9,44,16,113
"20177","MMP16",0,369,0,0,10,2
"20178","MMP17",0,1,0,0,0,0
"20179","MMP19",0,0,0,0,0,0
"20180","MMP2",15,1769,32,36,12,39
"20181","MMP23B",0,9,0,0,0,0
"20182","MMP24",0,0,0,0,0,0
"20183","MMP25",0,0,0,0,0,0
"20184","MMP28",0,0,0,0,0,0
"20185","MMP7",0,0,0,0,0,0
"20186","MMP9",0,0,0,0,0,0
"20187","MMRN1",0,109,0,0,3,0
"20188","MMRN2",9,2704,39,45,63,87
"20189","MMS19",5,792,18,0,6,50
"20190","MMS22L",0,11,0,0,3,4
